iter	RMSE
0	9.183175648
1	9.173930487
2	9.155534008
3	9.145265354
4	9.125976288
5	9.101780292
6	9.087983155
7	9.071752199
8	9.058636718
9	9.040164679
10	9.012800399
11	9.001313432
12	8.979006087
13	8.960735794
14	8.936166148
15	8.916784112
16	8.906737668
17	8.892104519
18	8.867772668
19	8.846536589
20	8.821792054
21	8.809413128
22	8.78702135
23	8.764735054
24	8.749393136
25	8.729335656
26	8.711280495
27	8.694257931
28	8.671796657
29	8.652018617
30	8.641937689
31	8.623953155
32	8.610024841
33	8.594703955
34	8.574336546
35	8.563010747
36	8.554634253
37	8.544549751
38	8.533768615
39	8.513298235
40	8.503958725
41	8.488088065
42	8.479632873
43	8.466661772
44	8.457440778
45	8.434922577
46	8.412176624
47	8.391660602
48	8.368648977
49	8.351628399
50	8.330345208
51	8.306272516
52	8.292641815
53	8.27476857
54	8.263469851
55	8.244109651
56	8.232858608
57	8.212500986
58	8.205484207
59	8.186681396
60	8.168168331
61	8.157319999
62	8.13323363
63	8.121877433
64	8.103612533
65	8.088100693
66	8.075306818
67	8.063742085
68	8.046857013
69	8.034782485
70	8.027069822
71	8.007198736
72	7.997286844
73	7.984814154
74	7.968582074
75	7.949165745
76	7.930138032
77	7.914021902
78	7.903662852
79	7.888349613
80	7.875334623
81	7.866840183
82	7.845514424
83	7.831099488
84	7.81216502
85	7.802966746
86	7.790923607
87	7.779885162
88	7.7655638
89	7.754671823
90	7.735637828
91	7.725834739
92	7.709967224
93	7.696303256
94	7.67560491
95	7.655313985
96	7.637294349
97	7.620003066
98	7.610064956
99	7.59880156
100	7.582260383
101	7.570870185
102	7.561829893
103	7.544887084
104	7.528208651
105	7.513975744
106	7.495473687
107	7.477762948
108	7.463921709
109	7.447705323
110	7.430763275
111	7.421114264
112	7.411058862
113	7.393094558
114	7.376657546
115	7.364347186
116	7.355216138
117	7.338250278
118	7.327670301
119	7.315968913
120	7.29927318
121	7.288040352
122	7.280516689
123	7.270648757
124	7.255201503
125	7.240462921
126	7.227225773
127	7.210597969
128	7.197427107
129	7.180578034
130	7.167438661
131	7.158037717
132	7.151994382
133	7.137311078
134	7.121491163
135	7.105688836
136	7.097285127
137	7.083308768
138	7.075674236
139	7.064506015
140	7.056592743
141	7.049994592
142	7.035078493
143	7.026083965
144	7.014674961
145	6.999689043
146	6.986953398
147	6.975002482
148	6.96660281
149	6.954201549
150	6.941118313
151	6.935557161
152	6.925304947
153	6.909834189
154	6.895175354
155	6.888611113
156	6.876419544
157	6.86558721
158	6.856150609
159	6.847602317
160	6.838786287
161	6.825944698
162	6.814532564
163	6.800284244
164	6.787263606
165	6.776175841
166	6.768953641
167	6.755633166
168	6.74587169
169	6.738857927
170	6.726259543
171	6.719675805
172	6.707032677
173	6.69360777
174	6.686677051
175	6.680027219
176	6.667981642
177	6.65649935
178	6.642768287
179	6.63265732
180	6.620658514
181	6.606665888
182	6.596471455
183	6.591791079
184	6.583717612
185	6.572352885
186	6.560764797
187	6.555937625
188	6.548785427
189	6.536799766
190	6.529533332
191	6.518222041
192	6.506118315
193	6.496375899
194	6.485880185
195	6.474063677
196	6.460919471
197	6.449053718
198	6.439566542
199	6.428341459
200	6.423060747
201	6.413436499
202	6.401543341
203	6.395584241
204	6.383807148
205	6.37165628
206	6.36215443
207	6.34844745
208	6.342567507
209	6.33805556
210	6.325603625
211	6.32094074
212	6.317252424
213	6.306274341
214	6.294958953
215	6.289093325
216	6.280982538
217	6.26855586
218	6.261479317
219	6.25471797
220	6.248195402
221	6.240262332
222	6.232055554
223	6.22188383
224	6.211760897
225	6.205205053
226	6.199885433
227	6.193446279
228	6.188711645
229	6.17955353
230	6.167967809
231	6.164433074
232	6.152493714
233	6.14221961
234	6.138049692
235	6.131537326
236	6.124017313
237	6.11403486
238	6.105534414
239	6.100966276
240	6.09185879
241	6.083573933
242	6.074225604
243	6.063604981
244	6.054240002
245	6.050273288
246	6.043335675
247	6.033114871
248	6.022921169
249	6.011312185
