iter	Passed	Remaining
0	6	1534
1	11	1437
2	17	1399
3	22	1368
4	27	1363
5	33	1350
6	38	1352
7	44	1356
8	50	1352
9	56	1346
10	62	1357
11	68	1356
12	74	1359
13	80	1360
14	86	1359
15	94	1377
16	100	1375
17	106	1372
18	112	1372
19	119	1372
20	125	1373
21	132	1377
22	139	1374
23	145	1372
24	152	1370
25	160	1379
26	167	1380
27	173	1376
28	182	1390
29	188	1382
30	194	1375
31	200	1366
32	206	1360
33	213	1354
34	219	1346
35	225	1341
36	232	1335
37	238	1330
38	244	1323
39	251	1318
40	257	1313
41	263	1305
42	269	1299
43	277	1300
44	283	1293
45	290	1286
46	296	1279
47	302	1273
48	308	1267
49	315	1261
50	322	1256
51	328	1250
52	334	1244
53	342	1243
54	348	1237
55	355	1231
56	361	1224
57	367	1216
58	373	1209
59	379	1202
60	385	1195
61	392	1190
62	398	1182
63	404	1176
64	411	1169
65	417	1163
66	423	1156
67	429	1149
68	435	1143
69	441	1136
70	448	1129
71	454	1122
72	460	1116
73	466	1110
74	473	1103
75	479	1097
76	485	1091
77	492	1085
78	498	1078
79	504	1072
80	510	1065
81	517	1059
82	523	1053
83	530	1047
84	536	1041
85	543	1035
86	549	1029
87	555	1022
88	562	1016
89	568	1011
90	575	1005
91	582	999
92	588	993
93	595	987
94	601	981
95	609	977
96	615	970
97	623	967
98	630	961
99	636	954
100	643	948
101	650	943
102	656	937
103	664	932
104	672	928
105	678	922
106	687	918
107	694	913
108	703	910
109	710	904
110	717	898
111	723	891
112	730	885
113	737	879
114	743	872
115	748	865
116	755	858
117	762	852
118	768	846
119	775	839
120	781	833
121	788	827
122	795	821
123	802	815
124	809	809
125	815	802
126	822	796
127	828	790
128	835	783
129	842	777
130	848	771
131	856	765
132	864	760
133	872	754
134	880	750
135	887	744
136	896	739
137	903	733
138	910	727
139	918	721
140	925	715
141	933	709
142	940	703
143	948	697
144	952	690
145	961	685
146	969	678
147	977	673
148	984	667
149	992	661
150	1000	655
151	1008	650
152	1016	644
153	1023	637
154	1030	631
155	1037	625
156	1044	618
157	1052	612
158	1059	606
159	1066	599
160	1073	593
161	1081	587
162	1088	580
163	1095	574
164	1102	568
165	1110	561
166	1117	555
167	1124	548
168	1131	542
169	1139	536
170	1146	529
171	1154	523
172	1161	517
173	1169	510
174	1176	504
175	1184	497
176	1192	491
177	1199	485
178	1207	479
179	1215	472
180	1223	466
181	1230	459
182	1239	453
183	1247	447
184	1255	441
185	1263	434
186	1272	428
187	1279	422
188	1286	415
189	1295	408
190	1304	402
191	1312	396
192	1319	389
193	1328	383
194	1337	377
195	1345	370
196	1353	364
197	1360	357
198	1367	350
199	1374	343
200	1382	337
201	1390	330
202	1398	323
203	1406	317
204	1414	310
205	1422	303
206	1431	297
207	1439	290
208	1447	283
209	1454	277
210	1462	270
211	1470	263
212	1478	256
213	1485	249
214	1493	243
215	1502	236
216	1510	229
217	1517	222
218	1524	215
219	1532	208
220	1539	201
221	1547	195
222	1554	188
223	1562	181
224	1569	174
225	1576	167
226	1583	160
227	1590	153
228	1597	146
229	1604	139
230	1611	132
231	1618	125
232	1626	118
233	1633	111
234	1640	104
235	1647	97
236	1654	90
237	1662	83
238	1669	76
239	1677	69
240	1684	62
241	1691	55
242	1698	48
243	1705	41
244	1713	34
245	1720	27
246	1727	20
247	1734	13
248	1742	6
249	1748	0
